Certificat de Professionalitat;Descripció ;Hores;NivellEspecialitat;FamProfDescCat;Competències;Descripció de la competència;Durada 
QUIL0108;Anàlisi química;690,;3;QUÍMICA;UC0052_3;Organitzar i gestionar l'activitat del laboratori aplicant els procediments i normes específiques.;130,
ELEE0310;Gestió i supervisió del muntatge i manteniment d'instal·lacions elèctriques en l'entorn d'edificis;700,;3;ELECTRICITAT I ELECTRÒNICA;UC1181_3;Supervisar els processos de muntatge de les instal·lacions elèctriques en l'entorn d'edificis i amb finalitats especials;220,
ADGD0030;Aspectes jurídics i documentals de l'activitat de la persona treballadora autònoma;15,;2;ADMINISTRACIÓ I GESTIÓ;;;0,
ENAE0308;Organització i projectes d'instal·lacions solars tèrmiques;630,;3;ENERGIA I AIGUA;UC0846_3;Desenvolupar projectes d'instal·lacions solars tèrmiques.;180,
INAH08;Anàlisi sensorial de vins blancs;60,;2;INDÚSTRIA ALIMENTÀRIA;noUC_inah08;;10,
COMM0110;Màrqueting i compravenda internacional;750,;3;COMERÇ I MARQUETING;UC1011_3;Comunicar-se en una llengua diferent de l'anglès, amb un nivell d'usuari competent, en les relacions i activitats de comerç internacional;120,
SANT13;Gestió Administrativa Assistent Clínic;285,;3;SANITAT;noUC_sant13;;25,
IMSV25;Workflows per a  cine i televisió;70,;3;IMATGE I SO;noUC_imsv25;-;10,
INAH08;Anàlisi sensorial de vins blancs;60,;2;INDÚSTRIA ALIMENTÀRIA;noUC_inah08;;10,
EOCB0210;Revestiments amb pastes i morters en construcció;670,;2;EDIFICACIÓ I OBRA CIVIL;noUC_MP0336;Mòdul de pràctiques professionals no laborals de 'Revestiments amb pastes i morters en construcció';80,
ARGT0311;Elaboració de cartró ondulat;420,;2;ARTS GRÀFIQUES;UC1335_2;Preparar les matèries primeres i els productes auxiliars per a la transformació de paper, cartró i altres materials;90,
SEAD0100;C.13. Tallers de reparació de vehicles;20,;1;SEGURETAT I MEDI AMBIENT;;;0,
AGAR0110;Gestió d'aprofitaments forestals;630,;3;AGRÀRIA;UC1486_3;Organitzar i supervisar les operacions d'inventari i seguiment de l'hàbitat natural;100,
ADGD0208;Gestió integrada de recursos humans;790,;3;ADMINISTRACIÓ I GESTIÓ;UC0233_2;Manejar aplicacions ofimàtiques en la gestió de la informació i la documentació;190,
INAD02;Higiene i Seguretat alimentària contra la COVID-19 a les empreses de restauració i turisme;15,;1;INDÚSTRIA ALIMENTÀRIA;;;0,
FMEF0308;Producció en fosa i pulvimetal·lúrgia;560,;3;FABRICACIÓ MECÀNICA;UC0592_3;Supervisar la producció en fabricació mecànica.;120,
TMVI39;Programa de qualificació inicial accelerada de conductors amb MMPP (Mercaderies);140,;1;TRANSPORT I MANTENIMENT DE VEHICLES;;;0,
TMVB0211;Manteniment de sistemes elèctrics i electrònics de material rodador ferroviari;510,;2;TRANSPORT I MANTENIMENT DE VEHICLES;UC0633_2;Mantenir sistemes electrico-electrònics de comunicació, seguretat i comfortabilitat de material rodant ferroviari;240,
QUIT0309;Operacions de transformació de cautxú;570,;2;QUÍMICA;UC0326_2;Preparar màquines i instal·lacions per a la transformació de polímers;140,
IFCT31;Seguretat en sistemes informàtics amb IBM;255,;3;INFORMÀTICA I COMUNICACIONS;noUC_ifct31;;10,
COMT0111;Gestió comercial immobiliària;580,;3;COMERÇ I MARQUETING;noUC_MP0404;Mòdul de pràctiques professionals no laborals de 'Gestió comercial immobiliària';40,
EOCE0111;Armadures passives per a formigó;610,;2;EDIFICACIÓ I OBRA CIVIL;UC1905_2;Realitzar l'armament manual i col·locació en obra d'armadures;220,
IFCD56;Introducció a la programació Mobile;90,;2;INFORMÀTICA I COMUNICACIONS;noUC_ifcd56;-;15,
ELES0210;Gestió i supervisió del muntatge i manteniment de les infraestructures de telecomunicació i de xarxes de veu i dades en l'entorn d'edificis;680,;3;ELECTRICITAT I ELECTRÒNICA;UC1184_3;Organitzar i gestionar el muntatge de les infraestructures de telecomunicació i de xarxes de veu i dades en l'entorn d'edificis;90,
IFCT161;Arquitecte de sistemes cloud azure.;350,;3;INFORMÀTICA I COMUNICACIONS;noUC_ifct161;;30,
IFCD42;Modelatge poligonal, texturitzat i animació;300,;3;INFORMÀTICA I COMUNICACIONS;noUC_ifcd42;-;5,
FMEM0109;Gestió de la producció en fabricació mecànica;350,;3;FABRICACIÓ MECÀNICA;UC1268_3;Aprovisionar els processos productius de fabricació mecànica;100,
EOCJ0110;Instal·lació de placa de guix laminat i falsos sostres;550,;2;EDIFICACIÓ I OBRA CIVIL;UC1903_1;Realitzar operacions bàsiques en instal·lació de placa de guix laminat;80,
COML0015;Gestió de compres i aprovisionaments;40,;2;COMERÇ I MARQUETING;;;0,
IMAR04;Curs complementari sobre manipulació d'equips amb sistemes frigorífics de qualsevol càrrega de refrigerants fluorats;30,;2;INSTAL·LACIÓ I MANTENIMENT;noUC_imar04;;3,
IMSV03;Animació de personatges 3D aplicada al character animation;170,;3;IMATGE I SO;noUC_imsv03;-;30,
EOCB01;Bioconstrucció;498,;2;EDIFICACIÓ I OBRA CIVIL;noUC_eocb01;;35,
ARTG0512;Regulació de pianos verticals i de cua;990,;3;ARTS I ARTESANIA;UC2127_3;Regular la mecànica i els pedals de pianos verticals i de cua;110,
HOTR0020;Logística a la cuina: Aprovisionament de matèries primeres;75,;1;HOSTALERIA I TURISME;noUC_hotr0020;-;45,
ARTA0112;Elaboració d'obres de forja artesanal;510,;2;ARTS I ARTESANIA;UC2244_2;Definir el procés d'elaboració d'obres de forja artesanal;100,
IFCM08;Seguretat de la informació, implementacions i pentesting;250,;3;INFORMÀTICA I COMUNICACIONS;;;0,
ADGD0044;El consell rector en les Cooperatives;20,;2;ADMINISTRACIÓ I GESTIÓ;;;0,
IFCT0409;Implantació i gestió d'elements informàtics en sistemes domòtics/immòtics, de control d'accessos i presència, i de videovigilància;540,;3;INFORMÀTICA I COMUNICACIONS;UC1220_3;Implantar i mantenir sistemes de control d'accessos i presència, i de videovigilància;220,
AGAJ0004;Jardineria vertical;30,;2;AGRÀRIA;;;0,
ARTG0312;Manteniment i reparació d'instruments musicals de corda;810,;3;ARTS I ARTESANIA;UC2123_3;Mantenir i ajustar instruments musicals de corda;80,
IFCD90;POO en JAVA amb Standard Edition;90,;3;INFORMÀTICA I COMUNICACIONS;noUC_ifcd90;;5,
TMVG0019;Sistemes d'injecció directa dièsel de 3a i 4a generació;30,;2;TRANSPORT I MANTENIMENT DE VEHICLES;;;0,
AFDA0109;Guia per itineraris amb bicicleta;420,;2;ACTIVITATS FÍSIQUES I ESPORTIVES;UC0353_2;Determinar i organitzar itineraris amb bicicleta per terrenys variats fins a mitja muntanya;110,
FCOI23;Resolució de problemes a l'entorn digital. Nivell avançat;40,;3;FORMACIÓ COMPLEMENTARIA;noUC_fcoi23;;10,
HOTT0017;Informació i atenció turística en llengua estrangera, Rus;30,;1;HOSTALERIA I TURISME;;;0,
HOTR0110;Direcció i producció en cuina;1.110,;3;HOSTALERIA I TURISME;UC1060_3;Desenvolupar i supervisar processos de preparació i presentació de plats de cuina creativa i d'autor;80,
ARGA0111;Litografia;450,;2;ARTS GRÀFIQUES;noUC_MP0454;Mòdul de pràctiques professionals no laborals de 'Litografia';80,
TCPP0712;Teixidura de punt per trama o recollida;610,;2;TÈXTIL, CONFECCIÓ I PELL;UC0896_2;Preparar màquines circulars de gran i petit diàmetre per produir teixits i peces;220,
IFCT54;Oracle Big Data Cloud enginyer;175,;3;INFORMÀTICA I COMUNICACIONS;noUC_ifct54;;25,
MAPN0612;Manteniment dels equips d'un parc de pesca i de la instal·lació frigorífica;480,;2;MARÍTIM PESQUER;UC1891_2;Efectuar les tasques de manteniment dels equips que composen la instal·lació frigorífica del parc de pesca;100,
ARGT0112;Gestió de la producció en transformats de paper, cartró i altres suports gràfics;630,;3;ARTS GRÀFIQUES;UC1670_3;Determinar els materials de producció a la indústria gràfica;110,
IFCD26;CMS i E-COMMERCE;100,;2;INFORMÀTICA I COMUNICACIONS;noUC_ifcd26;;45,
ARGG0006;Autodesk, disseny gràfic amb autocad;20,;2;ARTS GRÀFIQUES;;;0,
FMEM12;Mecanització amb fresadora CNC;40,;2;FABRICACIÓ MECÀNICA;noUC_fmem12;-;9,
SANT0052;Gestió de pacients amb eines digitals, ePatient;10,;2;SANITAT;;;0,
ELEQ0111;Operacions auxiliars de muntatge i manteniment d'equips elèctrics i electrònics;390,;1;ELECTRICITAT I ELECTRÒNICA;UC1561_1;Realitzar operacions auxiliars en el manteniment d'equips elèctrics i electrònics;150,
HOTR0109;Operacions bàsiques de pastisseria;410,;1;HOSTALERIA I TURISME;UC1333_1;Executar operacions bàsiques d'aprovisionament intern i conservació de preelaboracions i elaboracions de pastisseria;120,
EOCO0208;Representació de projectes d'obra civil;600,;3;EDIFICACIÓ I OBRA CIVIL;UC0638_3;Realitzar representacions de construcció;190,
IFCM0210;Manteniment de primer nivell en sistemes de radiocomunicacions;580,;2;INFORMÀTICA I COMUNICACIONS;UC1210_2;Posar en servei i mantenir xarxes sense fil d'àrea local i metropolitanes;180,
CTRL0038;Espanyol conversa inicial;30,;1;COMPETÈNCIES TRANSVERSALS;;;0,
ARTU0110;Maquinària escènica per a l'espectacle en viu;830,;3;ARTS I ARTESANIA;UC1711_3;Participar en l'establment del projecte de l'escenografía per a l'espectacle en viu;130,
SSCG0008;Aproximació a la salut mental;10,;2;SERVEIS SOCIOCULTURALS I A LA COMUNITAT;;;0,
MAPU0110;Producció de viver en aqüicultura;610,;2;MARÍTIM PESQUER;UC0287_2;Cultivar postlarves, llavors i alevins;100,
IFCT77;Eines col·laboratives de treball en línia;100,;2;INFORMÀTICA I COMUNICACIONS;noUC_ifct77;-;10,
ARTB0111;Elaboració d'articles d'argenteria;620,;2;ARTS I ARTESANIA;UC2044_2;Organitzar processos i realitzar acabaments mecànics i químics d'elements i peces de plateria;110,
AGAN0212;Realització de procediments experimentals amb animals per a la investigació i altres finalitats científiques;750,;3;AGRÀRIA;noUC_MP0516;Mòdul de pràctiques professionals no laborals de 'Realització de procediments experimentals amb animals per a la investigació i altres finalitats cien';120,
SANT0035;Aplicació, maneig i control de sutures, embenats i drenatges;16,;3;SANITAT;;;0,
TCPF0112;Tall, muntat i acabat en pelleteria;690,;2;TÈXTIL, CONFECCIÓ I PELL;UC0444_2;Realitzar l'acabament d'articles i peces de pelleteria;90,
SANT0067;Actualització de cures auxiliars d'infermeria;30,;2;SANITAT;;;0,
ADGD0108;Gestió comptable i gestió administrativa per a auditoria;630,;3;ADMINISTRACIÓ I GESTIÓ;UC0232_3;Realitzar la gestió administrativa d'un servei d'auditoria;120,
EOCQ0012;Prl per a operadors dequips manuals. part específica;6,;1;EDIFICACIÓ I OBRA CIVIL;;;0,
EOCO19;Aplicació d'UAS/Drons en Edificació;300,;3;EDIFICACIÓ I OBRA CIVIL;noUC_eoco19;;80,
SEAD15;Innovacions relacionades amb la seguretat en instal·lacions esportives;25,;2;SEGURETAT I MEDI AMBIENT;;;0,
HOTR0061;Elaboració de gelats i sorbets en restauració;35,;1;HOSTALERIA I TURISME;;;0,
TMVG0110;Planificació i control de l'àrea d'electromecànica;660,;3;TRANSPORT I MANTENIMENT DE VEHICLES;UC0140_3;Planificar els processos de reparació dels motors tèrmics i els seus sistemes auxiliars controlant-ne l'execució;150,
TMVI03;Formació integral per a conductors professionals de mercaderies per carretera;270,;3;TRANSPORT I MANTENIMENT DE VEHICLES;noUC_tmvi03;Formació integral per a conductors professionals de mercaderies per carretera;70,
TCPN0512;Acabat de pells;470,;2;TÈXTIL, CONFECCIÓ I PELL;UC0887_2;Preparar pells per al seu acabament;130,
AFDA0112;Guia per barrancs secs o aquàtics;660,;2;ACTIVITATS FÍSIQUES I ESPORTIVES;UC1076_2;Elaborar recorreguts per barrancs;220,
HOTR0073;Tècniques per a l'elaboració de cafès;20,;2;HOSTALERIA I TURISME;;;0,
EOCE0211;Encofrats;610,;2;EDIFICACIÓ I OBRA CIVIL;UC1916_2;Organitzar treballs de posada en obra d'encofrats i formigó;60,
FCOV07;Comunicació a llengües estrangeres (francès) N2;180,;2;FORMACIÓ COMPLEMENTARIA;noUC_fcov07;-;180,
IMAR0108;Muntatge i manteniment d'instal·lacions frigorífiques;540,;2;INSTAL·LACIÓ I MANTENIMENT;UC0114_2;Muntar instal·lacions de refrigeració comercial i industrial;240,
AGAG0108;Producció avícola intensiva;250,;2;AGRÀRIA;UC0006_2;Muntar i mantenir les instal·lacions, maquinària i equips de l'explotació ramadera. .;90,
ARTB0015;Esmalt al foc en joieria. Nivell I;32,;2;ARTS I ARTESANIA;;;0,
FMEA0001;Muntadors d'estructures aeronàutiques;110,;3;FABRICACIÓ MECÀNICA;noUC_fmea0001;-;25,
SEAD0216;Servei de vigilància ferroviària i metropolità;20,;2;SEGURETAT I MEDI AMBIENT;;;0,
ARGA0112;Gravat i tècniques d'estampació;800,;3;ARTS GRÀFIQUES;UC2227_3;Crear el BAT i supervisar l'estampació d'obra gràfica original;150,
TMVG0109;Operacions auxiliars de manteniment en electromecànica de vehicles;310,;1;TRANSPORT I MANTENIMENT DE VEHICLES;UC0624_1;Desmuntar, muntar i substituir elements elèctrics simples del vehicle;90,
COMV0108;Activitats de venda;590,;2;COMERÇ I MARQUETING;UC0240_2;Realitzar les operacions auxiliars a la venda;140,
QUIB0108;Gestió i control de planta química;840,;3;QUÍMICA;UC0576_3;Coordinar els processos químics i de les instal·lacions d'energia i auxiliars.;160,
TCPN0312;Operacions auxiliars de bugaderia industrial i de proximitat;340,;1;TÈXTIL, CONFECCIÓ I PELL;UC0434_1;Recepcionar, classificar i preparar la roba per a la seva neteja;60,
ADGD0058;Gestió de seccions de crèdit de cooperatives agràries;50,;2;ADMINISTRACIÓ I GESTIÓ;;;0,
FMEC0108;Fabricació i muntatge d'instal·lacions de canonada industrial;530,;2;FABRICACIÓ MECÀNICA;UC1143_2;Conformar i armar canonades;160,
INAD0109;Elaboració de sucre;450,;2;INDÚSTRIA ALIMENTÀRIA;UC0301_2;Verificar i conduir les operacions d'envasament del sucre;70,
HOTR0033;Planificació de menús i dietes especials;20,;1;HOSTALERIA I TURISME;noUC_hotr0033;-;20,
IFCD34;Interfícies i experiència d'usuari (UI i UX);150,;2;INFORMÀTICA I COMUNICACIONS;noUC_ifcd34;;10,
IMAI0110;Instal · lació i manteniment de sistemes d'aïllament tèrmic, acústic i protecció passiva contra el foc;620,;2;INSTAL·LACIÓ I MANTENIMENT;UC1880_2;Prefabricar peces de revestiment per a sistemes d'aïllament;300,
SANP0108;Tanatopràxia;520,;3;SANITAT;UC1609_3;Manejar les tècniques i habilitats relacionals per prestar el servei de tanatopràxia;90,
TMVI0058;Tacògraf intel·ligent per a la transformació digital en el transport;12,;1;TRANSPORT I MANTENIMENT DE VEHICLES;;;0,
SSCG0009;Serveis assistencials a víctimes de violència de gènere;30,;2;SERVEIS SOCIOCULTURALS I A LA COMUNITAT;;;0,
IFCT0110;Operació de xarxes departamentals;530,;2;INFORMÀTICA I COMUNICACIONS;UC0955_2;Monitoritzar els processos de comunicacions de la xarxa local;180,
IEXM0509;Operacions en instal·lacions de transport subterrànies en indústries extractives;510,;2;INDÚSTRIES EXTRACTIVES;UC0863_2;Realitzar el transport amb sistemes de tracció per cable;160,
ELEE0410;Gestió i supervisió del muntatge i manteniment de xarxes elèctriques aèries d'alta tensió de segona i tercera categoria i centres de transformació d'intempèrie;640,;3;ELECTRICITAT I ELECTRÒNICA;UC1190_3;Supervisar el manteniment de xarxes elèctriques aèries d'alta tensió de segona i tercera categoria, i centres de transformació d'intempèrie;200,
VICF0311;Desenvolupament de composicions ceràmiques;510,;3;VIDRE I CERÀMICA;UC0155_3;Proposar i desenvolupar composicions de pastes ceràmiques;220,
FMEC0119;Soldadura per arc sota gas protector amb elèctrode consumible, soldeig «MIG/MAG»;490,;2;FABRICACIÓ MECÀNICA;noUC_MP0594;Mòdul de pràctiques professionals no laborals de 'Soldadura per arc sota gas protector amb elèctrode consumible, soldeig «MIG/MAG»';80,
IFCD86;Traducció d'Estructures WordPress;40,;3;INFORMÀTICA I COMUNICACIONS;noUC_IFCD86;;10,
FMEM0111;Fabricació per mecanització en barra;630,;3;FABRICACIÓ MECÀNICA;UC2160_3;Programar màquines de CNC per a la mecanització en barra;170,
MAMS0108;Instal·lació d'elements de fusteria;500,;2;FUSTA, MOBLE I SURO;UC0883_2;Prendre dades i efectuar càlculs per a la instal·lació d'elements de fusteria.;120,
TCPF0712;Patronatge d'articles de confecció en tèxtil i pell;780,;3;TÈXTIL, CONFECCIÓ I PELL;UC0913_3;Desenvolupar el modelatge de peces sobre maniquí;90,
EOCO0212;Control d'execució d'obres civils;650,;3;EDIFICACIÓ I OBRA CIVIL;UC2141_3;Controlar la posada en obra d'encofrats, armadures passives i formigó;70,
IFCD67;Cloud Deployer;300,;4;INFORMÀTICA I COMUNICACIONS;noUC_ifcd67;-;75,
EOCB06;Manteniment i rehabilitació dedificis;440,;1;EDIFICACIÓ I OBRA CIVIL;noUC_eocb06;;110,
HOTR0013;Cuina creativa i d'autor;75,;1;HOSTALERIA I TURISME;noUC_hotr0013;-;40,
IEXM0209;Sondejos;690,;2;INDÚSTRIES EXTRACTIVES;noUC_MP0158;Mòdul de pràctiques professionals no laborals de 'Sondejos';80,
HOTR0408;Cuina;810,;2;HOSTALERIA I TURISME;UC0261_2;Preparar elaboracions bàsiques de múltiples aplicacions i plats elementals.;240,
FMEE0108;Operacions auxiliars de fabricació mecànica;440,;1;FABRICACIÓ MECÀNICA;noUC_MP0095;Mòdul de pràctiques professionals no laborals de 'Operacions auxiliars de fabricació mecànica';40,
TMVO0002;GESTIÓ I OPERACIONS NODE CÀRREGA AÈRIA;90,;2;TRANSPORT I MANTENIMENT DE VEHICLES;noUC_tmvo0002;-;40,
ADGD0025;Fiscalitat i altres obligacions per a les persones treballadores autònomes;25,;2;ADMINISTRACIÓ I GESTIÓ;;;0,
ARTG0412;Afinació i harmonització de pianos;810,;3;ARTS I ARTESANIA;UC2120_3;Afinar pianos;100,
FCOO01;Inserció laboral i tècniques de recerca de feina;15,;2;FORMACIÓ COMPLEMENTARIA;noUC_FCOO01;;5,
INAF0108;Fleca i Brioixeria;530,;2;INDÚSTRIA ALIMENTÀRIA;UC0036_2;Aplicar la normativa de seguretat, higiene i protecció del medi ambient en la indústria fornera;60,
ARTB0005;Principis bàsics del disseny de joieria;230,;2;ARTS I ARTESANIA;noUC_artb0005;-;90,
IMAR0309;Planificació, gestió i realització del manteniment i supervisió del muntatge d'instal·lacions frigorífiques;540,;3;INSTAL·LACIÓ I MANTENIMENT;UC1176_3;Controlar la posada en marxa d'instal·lacions frigorífiques;60,
HOTU0111;Guarda de refugis i albergs de muntanya;720,;2;HOSTALERIA I TURISME;UC0711_2;Actuar sota normes de seguretat, higiene i protecció ambiental en hoteleria;60,
AGAC0108;Cultius herbacis;600,;2;AGRÀRIA;UC0525_2;Controlar les plagues, malalties, males herbes i fisiopaties.;120,
ENAL01;Integració de tecnologies d'emmagatzematge;240,;5;ENERGIA I AIGUA;noUC_enal01;;60,
AGAX0208;Activitats auxiliars en agricultura;370,;1;AGRÀRIA;UC0517_1;Realitzar operacions auxiliars per a la preparació del terreny, sembra i plantació de cultius agrícoles.;90,
TCPN0112;Blanqueig i tintura de matèries tèxtils;540,;2;TÈXTIL, CONFECCIÓ I PELL;UC0190_2;Realitzar la tintura de matèries tèxtils;160,
FMEC0119;Soldadura per arc sota gas protector amb elèctrode consumible, soldeig «MIG/MAG»;490,;2;FABRICACIÓ MECÀNICA;UC2314_2;Realitzar les operacions de comprovació i millora postsoldeig a la soldadura amb elèctrode;90,
MAPU0111;Gestió de la producció de viver en aqüicultura;480,;3;MARÍTIM PESQUER;UC0741_3;Coordinar i gestionar la producció de les àrees del centre de cria en aqüicultura;190,
ENAL0108;Gestió de l'operació en centrals termoelèctriques;750,;3;ENERGIA I AIGUA;UC1198_3;Supervisar els processos en l'operació de centrals termoelèctriques en règim estable;200,
ADGG22;MS PowerPoint 2016 (Accessible);25,;1;ADMINISTRACIÓ I GESTIÓ;;;0,
IMPP0308;Hidrotermal;570,;3;IMATGE PERSONAL;UC0063_3;Realitzar massatges manuals i/o mecànics amb finalitats estètiques.;120,
SEAD0511;Coordinació d'operacions en incendis forestals i suport a contingències en el medi natural i rural;600,;3;SEGURETAT I MEDI AMBIENT;UC1967_3;Organitzar els mitjans humans i materials de la unitat d'intervenció, en la lluita contra incendis forestals i suport a contingències en el medi natural i rural;100,
AGAH0108;Horticultura i floricultura;600,;2;AGRÀRIA;UC0525_2;Controlar les plagues, malalties, males herbes i fisiopaties.;120,
TMVU0110;Operacions auxiliars de manteniment de sistemes i equips d'embarcacions esportives i d'esbarjo;390,;1;TRANSPORT I MANTENIMENT DE VEHICLES;UC1460_1;Realitzar operacions auxiliars en el manteniment d'aparells d'embarcacions esportives i d'esbarjo;100,
QUIM0210;Organització i control del condicionat de productes farmacèutic i afins;660,;3;QUÍMICA;UC0335_3;Verificar la conformitat de materials, equips, instal·lacions i condicions de procés;120,
IFCD0055;Desenvolupament d'aplicacions per a ios amb swift;60,;3;INFORMÀTICA I COMUNICACIONS;;;0,
IFCD0045;Microsoft 365 certified: security administrator associate;60,;2;INFORMÀTICA I COMUNICACIONS;;;0,
IEXM0409;Excavació subterrània amb explosius;650,;2;INDÚSTRIES EXTRACTIVES;UC0418_2;Realitzar voladures subterrànies;150,
MAPN0212;Govern d'embarcacions i motos nàutiques destinades al socorrisme aquàtic;440,;2;MARÍTIM PESQUER;UC0011_1;Realitzar les guàrdies de navegació i govern del buc;60,
MAMR0308;Mecanització de fusta i derivats;520,;2;FUSTA, MOBLE I SURO;noUC_MP0055;Mòdul formatiu de pràctiques professionals no laborals de mecanització de fusta i derivats;120,
ARTN0210;Decoració artesanal de vidre mitjançant les aplicacions de color;580,;2;ARTS I ARTESANIA;noUC_MP0344;Mòdul de pràctiques professionals no laborals de 'Decoració artesanal de vidre mitjançant les aplicacions de color';120,
IMAI0108;Operacions de fontaneria i calefacció-climatització domèstica;480,;1;INSTAL·LACIÓ I MANTENIMENT;UC1155_1;Realitzar operacions bàsiques d'instal·lació i manteniment d'aparells sanitaris, radiadors i aparells de climatització d'ús domèstic;180,
IFCD0023;FullStack Júnior Web Developer amb C#;260,;2;INFORMÀTICA I COMUNICACIONS;;;0,
AGAC0108;Cultius herbacis;600,;2;AGRÀRIA;UC0523_2;Realitzar les tasques de preparació del terreny de sembra i/o trasplantament en cultius herbacis.;120,
TCPF0111;Operacions auxiliars d'adobaments;330,;1;TÈXTIL, CONFECCIÓ I PELL;noUC_MP0390;Mòdul de pràctiques professionals no laborals d''Operacions auxiliars d'adobaments';40,
INAF0108;Fleca i Brioixeria;530,;2;INDÚSTRIA ALIMENTÀRIA;UC0035_2;Confeccionar i/o conduir les elaboracions complementàries, composició, decoració i envasament dels productes de fleca i brioixeria;150,
SANT0061;Prevenció i control de la infecció;30,;2;SANITAT;;;0,
EOCQ0007;Perfeccionament del maneig de retroexcavadora mixta;40,;2;EDIFICACIÓ I OBRA CIVIL;;;0,
CTRR0010;Estratègies personals del control de l'estrès, burnout i riscos psicosocials;20,;1;COMPETÈNCIES TRANSVERSALS;;;0,
ARTU0212;Assistència a la direcció tècnica d'espectacles en viu i esdeveniments;530,;3;ARTS I ARTESANIA;UC2248_3;Establir el projecte tècnic d'exhibició d'un espectacle en viu o esdeveniment en col·laboració amb la resta de responsables de dit projecte en situacions canviants d'explotació;180,
FCOV37;Competència Matemàtica per a l'Ocupació Nivell 2;120,;2;FORMACIÓ COMPLEMENTARIA;noUC_fcov37;;120,
TMVG0029;Sistemes de seguretat passiva del vehicle;30,;2;TRANSPORT I MANTENIMENT DE VEHICLES;;;0,
ELEE01;Xarxes Elèctriques Intel·ligents;100,;3;ELECTRICITAT I ELECTRÒNICA;noUC_elee01;;20,
SEAD0210;Seguretat i tècniques en treballs en alçada;40,;2;SEGURETAT I MEDI AMBIENT;;;0,
SANT04;Bàsic de Mamografia;30,;3;SANITAT;noUC_sant04;;3,
TMVI64;Formació per a l' accés a les proves del permís de conducció classe D.;345,;1;TRANSPORT I MANTENIMENT DE VEHICLES;;;0,
SANP0108;Tanatopràxia;520,;3;SANITAT;UC1606_3;Realitzar restauracions i reconstruccions en cadàvers;40,
HOTR0010;Cuina Internacional;30,;1;HOSTALERIA I TURISME;noUC_hotr0010;-;30,
ARGG0004;Disseny industrial;40,;2;ARTS GRÀFIQUES;;;0,
SEAD0141;Prevenció de riscos laborals per a treballs de fontaneria i instal·lacions de climatització. Formació de reciclatge;4,;1;SEGURETAT I MEDI AMBIENT;;;0,
IFCD115;Desenvolupador cloud azure i expert devops.;400,;3;INFORMÀTICA I COMUNICACIONS;noUC_ifcd115;;25,
AGAN0111;Cures i maneigs d'animals utilitzats per a la investigació i altres finalitats científiques;450,;2;AGRÀRIA;UC1723_2;Netejar i mantenir locals, àrees d'estabulació, materials i equips d'instal·lacions dedicades a l'allotjament d'animals d'experimentació;70,
HOTR06;Preparacions culinàries a base de carns;12,;2;HOSTALERIA I TURISME;;;0,
FMEM17;Materials Avançats per a Vehicles;200,;4;FABRICACIÓ MECÀNICA;noUC_fmem17;;50,
MAPN0410;Operacions de transport marítim i pesca litoral;630,;2;MARÍTIM PESQUER;UC0541_1;Controlar els paràmetres de funcionament de la màquina propulsora i dels equips i instal·lacions auxiliars del buc;90,
TMVU0311;Manteniment d'aparells d'embarcacions esportives i d'esbarjo;570,;2;TRANSPORT I MANTENIMENT DE VEHICLES;UC1828_2;Realitzar el manteniment d'arbres i altres elements de l'arboradura d'embarcacions esportives i d'esbarjo;160,
FMEM07;Programació del braç robòtic FANUC ¿ nivell avançat;40,;3;FABRICACIÓ MECÀNICA;noUC_fmem07;-;10,
COMT0210;Gestió administrativa i financera del comerç internacional;660,;3;COMERÇ I MARQUETING;UC1010_3;Comunicar-se en anglès, amb un nivell d'usuari competent, en les relacions i activitats de comerç internacional;120,
IFCT35;Analista de dades big data cloudera;150,;3;INFORMÀTICA I COMUNICACIONS;noUC_ifct35;;50,
SSCG0012;Discapacitats i lleure;30,;1;SERVEIS SOCIOCULTURALS I A LA COMUNITAT;;;0,
QUIM0110;Organització i control de la fabricació de productes farmacèutics i afins;660,;3;QUÍMICA;UC0338_3;Complir i fer complir les normes de seguretat i ambientals del procés farmacèutic i afins;80,
SSCG0112;Promoció i participació de la comunitat sorda;660,;3;SERVEIS SOCIOCULTURALS I A LA COMUNITAT;UC1437_3;Utilitzar la llengua de signes espanyola per a l'exercici de les seves funcions;320,
SANT04;Bàsic de Mamografia;30,;3;SANITAT;noUC_sant04;;8,
INAF0014;Rebosteria;20,;2;INDÚSTRIA ALIMENTÀRIA;;;0,
SANT0077;Fonaments metodològics per a la recerca clínica;20,;3;SANITAT;;;0,
IFCD35;Flutter i DART;160,;3;INFORMÀTICA I COMUNICACIONS;noUC_ifcd35;;10,
AFDA0511;Operacions auxiliars en l'organització d'activitats i funcionament d'instal·lacions esportives;260,;1;ACTIVITATS FÍSIQUES I ESPORTIVES;noUC_MP0444;Mòdul de pràctiques professionals no laborals de 'Operacions auxiliars en l'organització d'activitats i funcionament d'instal·lacions esportives';80,
IEXD0409;Col·locació de pedra natural;640,;2;INDÚSTRIES EXTRACTIVES;UC1375_2;Col·locar maçoneria, carreuat i  perpany;120,
TMVG01;Curs sobre manipulació de sistemes frigorífics que utilitzin refrigerants fluorats destinats a confort tèrmic de persones instal·lats en vehicles;44,;2;TRANSPORT I MANTENIMENT DE VEHICLES;noUC_tmvg01;;6,
